# This file gives a closer overview about the occurrences of ADC overflows
# during the last acquisition.
# It is updated each time an FID is written to disk.
# 'Scans' denotes the number of scans that have been acquired for the current FID buffer,
# 'Experiment' the number of the current FID buffer 
# (which may be >1 in case of multi dimensional acquisition),
# 'Overflows' the total number of ADC overflows (if existing) that appeared during 'Scans'
# scans in FID buffer 'Experiment'.
# In case a multi-dimensional experiment is fully executed in the FID buffer of the DRU
# (i.e. using 'st' commands) only the sum of all overflows over all experiments is displayed.
# Note that the number of overflows may exceed the actual number of scans
# since there may be more than one overflow per scan.


# Scans   Experiment   Overflows
# ------------------------------
8   1   16
8   2   15
8   3   17
8   4   17
8   5   17
8   6   17
8   7   17
8   8   17
8   9   17
8   10   17
8   11   17
8   12   17
8   13   17
8   14   17
8   15   17
8   16   17
8   17   17
8   18   17
8   19   17
8   20   17
8   21   17
8   22   17
8   23   17
8   24   17
8   25   17
8   26   17
8   27   17
8   28   16
8   29   17
8   30   16
8   31   17
8   32   17
8   33   17
8   34   17
8   35   17
8   36   17
8   37   17
8   38   17
8   39   17
8   40   16
8   41   17
8   42   17
8   43   17
8   44   17
8   45   17
8   46   17
8   47   17
8   48   17
8   49   17
8   50   17
8   51   17
8   52   17
8   53   17
8   54   17
8   55   17
8   56   17
8   57   17
8   58   17
8   59   17
8   60   17
8   61   17
8   62   17
8   63   17
8   64   17
8   65   17
8   66   17
8   67   17
8   68   17
8   69   17
8   70   17
8   71   17
8   72   17
8   73   17
8   74   17
8   75   17
8   76   17
8   77   17
8   78   16
8   79   17
8   80   17
8   81   17
8   82   17
8   83   17
8   84   17
8   85   17
8   86   17
8   87   17
8   88   17
8   89   17
8   90   17
8   91   17
8   92   17
8   93   17
8   94   17
8   95   16
8   96   17
8   97   17
8   98   17
8   99   17
8   100   17
8   101   17
8   102   17
8   103   17
8   104   17
8   105   17
8   106   17
8   107   17
8   108   17
8   109   17
8   110   17
8   111   17
8   112   17
8   113   17
8   114   17
8   115   17
8   116   17
8   117   17
8   118   17
8   119   16
8   120   17
8   121   17
8   122   17
8   123   17
8   124   17
8   125   17
8   126   17
8   127   17
8   128   17
8   129   17
8   130   17
8   131   17
8   132   17
8   133   17
8   134   17
8   135   17
8   136   17
8   137   17
8   138   17
8   139   17
8   140   17
8   141   17
8   142   17
8   143   17
8   144   17
8   145   17
8   146   17
8   147   17
8   148   17
8   149   17
8   150   17
8   151   17
8   152   17
8   153   17
8   154   17
8   155   16
8   156   17
8   157   17
8   158   17
8   159   17
8   160   17
8   161   17
8   162   17
8   163   17
8   164   17
8   165   16
8   166   17
8   167   17
8   168   17
8   169   17
8   170   17
8   171   17
8   172   17
8   173   17
8   174   17
8   175   17
8   176   17
8   177   17
8   178   17
8   179   17
8   180   17
8   181   17
8   182   17
8   183   17
8   184   17
8   185   17
8   186   16
8   187   17
8   188   17
8   189   16
8   190   16
8   191   17
8   192   17
8   193   17
8   194   17
8   195   17
8   196   17
8   197   17
8   198   17
8   199   17
8   200   17
8   201   17
8   202   16
8   203   17
8   204   17
8   205   17
8   206   17
8   207   17
8   208   17
8   209   16
8   210   17
8   211   17
8   212   17
8   213   17
8   214   17
8   215   16
8   216   17
8   217   17
8   218   17
8   219   17
8   220   17
8   221   17
8   222   17
8   223   17
8   224   17
8   225   17
8   226   17
8   227   17
8   228   17
8   229   17
8   230   16
8   231   16
8   232   17
8   233   17
8   234   17
8   235   17
8   236   16
8   237   16
8   238   17
8   239   17
8   240   17
8   241   17
8   242   17
8   243   17
8   244   17
8   245   16
8   246   17
8   247   17
8   248   17
8   249   16
8   250   17
8   251   17
8   252   16
8   253   17
8   254   17
8   255   17
8   256   17
8   257   17
8   258   17
8   259   17
8   260   17
8   261   17
8   262   16
8   263   16
8   264   16
8   265   17
8   266   17
8   267   17
8   268   17
8   269   17
8   270   16
8   271   17
8   272   17
8   273   17
8   274   17
8   275   17
8   276   16
8   277   17
8   278   17
8   279   16
8   280   16
8   281   16
8   282   16
8   283   16
8   284   16
8   285   17
8   286   16
8   287   16
8   288   17
8   289   17
8   290   16
8   291   17
8   292   16
8   293   16
8   294   16
8   295   16
8   296   16
8   297   16
8   298   16
8   299   17
8   300   16
8   301   16
8   302   16
8   303   17
8   304   16
8   305   17
8   306   16
8   307   16
8   308   16
8   309   16
8   310   16
8   311   16
